,Q,Energy,Intensity,Error,Temp
0,0.75,7.0,0.0020941118597196107,0.0319890750750625,4.048
1,0.7,7.0,-0.008404128961009838,0.03222165163423807,4.052
2,0.65,7.0,0.009793584947829947,0.03318613633789587,4.057
3,0.6,7.0,0.0884306633035353,0.03733880187784712,4.059
4,0.55,7.0,0.16473749452885236,0.03911078563897701,4.048
5,0.5,7.0,0.364515796343177,0.04764764532685839,4.053
6,0.45,7.0,0.24274099835372384,0.044854753724918366,4.056
7,0.4,7.0,0.10237777011003404,0.03882723328143704,4.071
8,0.35,7.0,0.11825572778711227,0.04189158988383321,4.052
9,0.3,7.0,0.0,0.035438202721656493,4.057
10,0.25,7.0,0.03768531795376906,0.03716839285638434,4.057
11,0.2,7.0,0.09190526667121643,0.03899490619988941,4.066
12,0.15,7.0,0.1539396699430122,0.039858696709706605,4.052
13,0.1,7.0,0.46762147762329154,0.049359325869134954,4.053
14,0.05,7.0,0.7701720383273664,0.03961723548351035,4.049
15,0.0,7.0,0.785334279019354,0.03924749600395078,4.049
16,-0.05,7.0,0.808376751009298,0.04026890358413207,4.042
17,-0.1,7.0,0.49103743639448927,0.03742990451834587,4.047
18,-0.15,7.0,0.18902978119070543,0.03291663948597675,4.049
19,-0.2,7.0,-0.022449072760132138,0.0316035242461042,4.057
20,-0.25,7.0,0.023380804251415976,0.03499647220607356,4.045
0,0.75,6.0,-0.03361776375543765,0.03162218499407475,0.059
1,0.7,6.0,-0.024058933742122313,0.03304868533818053,0.061
2,0.65,6.0,-0.017296147345106955,0.03355320735645982,0.062
3,0.6,6.0,0.0546823543500389,0.0371999194415178,0.063
4,0.55,6.0,0.15122495588082632,0.03968454565412566,0.064
5,0.5,6.0,0.2909356725146198,0.045221965900371516,0.064
6,0.45,6.0,0.3344912280701754,0.05123752616404807,0.064
7,0.4,6.0,0.10022257135375753,0.0402497556639412,0.065
8,0.35,6.0,0.012483130904183543,0.036678550716882155,0.065
9,0.3,6.0,0.0,0.03669561519886296,0.065
10,0.25,6.0,0.06926350529789821,0.042144004828614676,0.066
11,0.2,6.0,0.10736079328756673,0.042514698497774756,0.066
12,0.15,6.0,0.12092731829573936,0.04129163005161755,0.066
13,0.1,6.0,0.40392366050260786,0.05056186077022984,0.066
14,0.05,6.0,0.6144912280701754,0.052165928415120834,0.066
15,-0.0,6.0,0.7393483709273183,0.05432293144165203,0.066
16,-0.05,6.0,0.7005452821242295,0.054603464061885335,0.066
17,-0.1,6.0,0.29687290745948836,0.04265317631461091,0.067
18,-0.15,6.0,0.12265401876784984,0.038419824278348405,0.067
19,-0.2,6.0,-0.007091326446958535,0.03360674338678622,0.067
20,-0.25,6.0,-0.03903065745171008,0.03253816657876592,0.067
0,0.75,3.5,0.04045701442217643,0.031176023772956616,0.058
1,0.7,3.5,-0.02977538475759116,0.026505580869253084,0.061
2,0.65,3.5,0.03744443246222605,0.03064990334030914,0.062
3,0.6,3.5,0.08192936618766612,0.032385742944160224,0.063
4,0.55,3.5,0.27712010070932286,0.041951892088410006,0.064
5,0.5,3.5,0.4686649966133038,0.0467828057778025,0.064
6,0.45,3.5,0.20326198603488166,0.03678195767693572,0.064
7,0.4,3.5,0.19177280389586066,0.037882287773971846,0.065
8,0.35,3.5,0.059228944246737844,0.03173037545763097,0.065
9,0.3,3.5,0.0,0.0289111686997721,0.065
10,0.25,3.5,0.05698088223123397,0.03307520130086016,0.066
11,0.2,3.5,0.0649947100125036,0.0321598137904753,0.066
12,0.15,3.5,0.08854234402525389,0.03320010535252159,0.066
13,0.1,3.5,0.30007069508848866,0.04270456749923163,0.066
14,0.05,3.5,0.5813200415552265,0.05087222233614378,0.067
15,-0.0,3.5,0.5722174499938644,0.04898668772855117,0.067
16,-0.05,3.5,0.4831720336776321,0.04742420418909348,0.067
17,-0.1,3.5,0.32023540777397697,0.04037720619555953,0.067
18,-0.15,3.5,0.21811045033754622,0.03914978697740659,0.067
19,-0.2,3.5,0.023805215433178525,0.02858179818802302,0.067
20,-0.25,3.5,-0.015789370771577174,0.026404195710397777,0.067
