,Q,Energy,Intensity,Error,Temp
0,-0.0,1.2,-0.19851395317233828,0.02845453902094068,0.059
1,0.0,1.3,-0.20510662938935786,0.029539842402065287,0.058
2,-0.0,1.4,-0.18499779692176793,0.03151347623021335,0.058
3,-0.0,1.5,-0.10250521032708093,0.025530684627520117,0.058
4,-0.0,1.6,-0.19848859398039725,0.034156702806914,0.058
5,-0.0,1.7,-0.15911642342996762,0.03163881770633642,0.058
6,-0.0,1.8,-0.04703375942313995,0.03230833536064237,0.059
7,0.0,1.9,0.0405036111653328,0.030708797250636532,0.059
8,0.0,2.0,0.013639626704953334,0.02318756200543502,0.058
9,-0.0,2.3,0.18892598135144467,0.0393962385006252,0.06
10,-0.0,2.6,0.1920637191777555,0.03800788022448792,0.061
11,0.0,2.9,0.1624654989731448,0.035012493390111143,0.061
12,-0.0,3.2,0.3095424198013353,0.06186524196328193,0.063
13,0.0,3.8,0.7343656343656344,0.10780970509208992,0.065
14,-0.0,4.4,0.7848041592586606,0.09288889365307545,0.068
15,-0.0,5.0,1.0535450240196247,0.1040739420790139,0.068
16,0.0,5.6,0.858146031638207,0.08115631593443365,0.069
17,0.0,6.2,1.0038212082728593,0.08874110307692369,0.068
18,0.0,8.0,0.7434398959167146,0.07135936012216287,0.068
19,0.0,9.0,0.6282670454545455,0.07032474258278802,0.068
