,Q,Energy,Intensity,Error,Temp
0,0.75,6.0,0.02999988111151887,0.029627240093743745,0.059
1,0.7,6.0,0.01666684999942407,0.028867471762052014,0.061
2,0.65,6.0,0.01999990777811443,0.029059253259780617,0.062
3,0.6,6.0,0.08666619333543184,0.032659759360950134,0.063
4,0.55,6.0,0.22666636666698514,0.03915772853115452,0.064
5,0.5,6.0,0.36333248555753367,0.04459685647486707,0.064
6,0.45,6.0,0.2899993233349122,0.04176644949875673,0.064
7,0.4,6.0,0.10999959222362703,0.03382954472532919,0.065
8,0.35,6.0,0.01999995333344222,0.02905925848533469,0.065
9,0.3,6.0,0.0,0.027888602477730073,0.065
10,0.25,6.0,0.03333300555732037,0.029814142182937712,0.066
11,0.2,6.0,0.08333307222300924,0.03248923183465192,0.066
12,0.15,6.0,0.1266662900010952,0.0346409275176476,0.066
13,0.1,6.0,0.43333195555987036,0.04714031615786279,0.066
14,0.05,6.0,0.8433307255635604,0.05990716045821923,0.066
15,-0.0,6.0,1.0499979388929204,0.06540459011002536,0.066
16,-0.05,6.0,0.9366637788977337,0.06244979678605583,0.066
17,-0.1,6.0,0.47333124556436035,0.0485338851474736,0.067
18,-0.15,6.0,0.19999942777939445,0.03800574956541273,0.067
19,-0.2,6.0,0.03999975000110555,0.03018452939567841,0.067
20,-0.25,6.0,-0.0033332500003203785,0.027688690698588342,0.067
