,Q,Energy,Intensity,Error,Temp
0,0.7,2.0,0.010357460795726907,0.009913755181602965,0.058
1,0.65,2.0,0.009012675093835527,0.010118722566878648,0.058
2,0.6,2.0,0.025600544330510677,0.011386523540700036,0.058
3,0.55,2.0,0.11311481373690338,0.016394935734085462,0.058
4,0.5,2.0,0.1777782752753649,0.02022681921192487,0.059
5,0.45,2.0,0.131874488659504,0.01719599243433113,0.059
6,0.4,2.0,0.02718508736874417,0.010728667641831065,0.059
7,0.35,2.0,-0.007866228186647797,0.008439796317745184,0.059
8,0.3,2.0,0.0,0.008865859261774049,0.059
9,0.25,2.0,-0.0031088452669280446,0.008286208557100995,0.059
10,0.2,2.0,-0.015135544429285736,0.007255560915819458,0.059
11,0.15,2.0,-0.004828045284664222,0.007383844704315283,0.059
12,0.1,2.0,0.012505142610927902,0.008067877898735738,0.06
13,0.05,2.0,0.05669624527217308,0.01069435871206687,0.06
14,-0.0,2.0,0.09304737769685889,0.013429659347969178,0.06
15,-0.05,2.0,0.12533072282781246,0.01587419640052281,0.059
16,-0.1,2.0,0.11558095575740118,0.016061021255015875,0.059
17,-0.15,2.0,0.027308516026979708,0.011512445014402533,0.059
18,-0.2,2.0,0.03575008229930464,0.012211166243822619,0.059
19,-0.25,2.0,0.013558425724285075,0.010674116586641028,0.059
